Date,Country,Country ISO,Reported Perpetrator,Reported Perpetrator Name,Weapon Carried/Used,Number of Attacks on Health Facilities Reporting Destruction,Number of Attacks on Health Facilities Reporting Damaged,Forceful Entry into Health Facility,Occupation of Health Facility,Health Transportation Destroyed,Health Transportation Damaged,Health Transportation Stolen/Highjacked,Looting/Theft/Robbery/Burglary of Health Supplies,Obstruction to Health Care,Health Workers Killed,Health Workers Injured,Health Workers Kidnapped,Health Workers Arrested,Known Kidnapping or Arrest Outcome,Health Workers Threatened,Health Workers Assaulted,Health Workers Sexually Assaulted,Reported Health Worker Profession,Health Workers Killed,International Health Workers Working Within The Aid System Kill,International Health Worker Outside The Aid Structure Killed,National Employees of International Aid Agencies Killed,National Employees of Local NGO Killed,Health Worker Working Within National Health Structure Killed,National Health Worker Working for Unspecified Health Provider ,"Health Workers Working for INGO, ICRC or UN Killed","Health Workers Working for LNGO,  NGO or National Society of th",Health Workers Working for local health structure killed,Health Workers Killed In Captivity,Female Health Workers Killed,Male Health Workers Killed,Health Workers Injured,International Health Workers Working Within the Aid System Inju,International Health Worker Outside the Aid Structure Injured,National Employees of International Aid Agencies Injured,Health Worker Working Within National Health Structure Injured,National Health Worker Working For Unspecified Health Provider ,Female Health Workers Injured,Male Health Workers Injured ,Health Workers Kidnapped,International Health Workers Working Within the Aid System Kidn,International Health Worker Outside the Aid Structure Kidnapped,National Employees of International Aid Agencies Kidnapped,Health Worker Working Within National Health Structure Kidnappe,National Health Worker Working for Unspecified Health Provider ,Female Health Workers Kidnapped,Male Health Workers Kidanpped,Health Workers Arrested,International Health Workers Working Within the Aid System Arre,International Health Worker Outside the Aid Structure Arrested ,National Employees of International Aid Agencies Arrested or De,Health Worker Working Within National Health Structure Arrested,National Health Worker Working for Unspecified Health Provider ,Female Health Workers Arrested or Detained,Male Health Workers Arrested or Detained,Conflict-Related Violence,Political-Related Violence,COVID-19-Related Violence,Ebola-Related Violence,Vaccination-Related Violence,SiND Event ID
#date,#country +name,#country +ISO,#group +perp ,#group +perp +name,#weapon,#indicator +health_facility +destroyed +num,#indicator +health_facility +damaged +num,#indicator +health_facility +armed_entry +num,#indicator +health_facility +occupy,#indicator +health_transport +destroyed +num,#indicator +health_transport +damaged +num,#indicator +health_transport +abducted +num,#indicator +health_supplies +taken +num,#indicator +health_obstruction,#affected +healthworker +killed,#affected +healthworker +injured,#affected +healthworker +arrested,#affected +healthworker +kidnapped,#affected +healthworker +assaulted,#affected +healthworker +threatened,#affected +healthworker +assaulted,#affected +healthworker +SGBV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#event +id
1/1/2022,Myanmar,MMR,Armed Forces of Government or Self-Declared Government,Myanmar Armed Forces,Firearms,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ConflictEvent,NotApplicable,NotApplicable,NotApplicable,NotApplicable,30419
1/1/2022,Myanmar,MMR,Armed Forces of Government or Self-Declared Government,Myanmar Armed Forces,Firearms,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,Doctor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ConflictEvent,Politically-related,NotApplicable,NotApplicable,NotApplicable,30908
1/1/2022,Myanmar,MMR,Armed Forces of Government or Self-Declared Government,Myanmar Armed Forces,Firearms,0,0,0,0,0,0,0,0,0,1,1,0,1,Killed,0,0,0,Volunteer,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,ConflictEvent,Politically-related,COVIDEvent,NotApplicable,NotApplicable,30860
1/1/2022,Myanmar,MMR,NSA,People's Defence Force (Myanmar),Arson,0,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ConflictEvent,NotApplicable,NotApplicable,NotApplicable,NotApplicable,30288
1/1/2022,Sudan,SDN,Armed Forces of Government or Self-Declared Government,Sudanese Armed Forces,Firearms,0,0,0,0,0,0,0,0,1,0,0,0,0,,3,0,0,"AmbulanceDriver, Paramedic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ConflictEvent,Politically-related,NotApplicable,NotApplicable,NotApplicable,30540
1/2/2022,Myanmar,MMR,NSA,People's Defence Force (Myanmar),IED,0,0,0,0,0,2,0,0,0,0,2,0,0,,0,0,0,"AmbulanceDriver, OtherHealthProfessional",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ConflictEvent,NotApplicable,NotApplicable,NotApplicable,NotApplicable,30290
1/2/2022,Sudan,SDN,Police,Sudan Police Force,"Tasers, Live and Rubber Bullets",0,1,1,0,0,0,0,0,0,0,3,0,0,,0,3,0,OtherHealthProfessional,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ConflictEvent,Politically-related,NotApplicable,NotApplicable,NotApplicable,30542
1/4/2022,Myanmar,MMR,Armed Forces of Government or Self-Declared Government,Myanmar Armed Forces,Air-Launched Explosive Weapon,0,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ConflictEvent,NotApplicable,NotApplicable,NotApplicable,NotApplicable,30289
1/4/2022,Myanmar,MMR,Armed Forces of Government or Self-Declared Government,Myanmar Armed Forces,Arson,1,0,1,0,0,0,0,1,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ConflictEvent,NotApplicable,NotApplicable,NotApplicable,NotApplicable,30291
1/5/2022,Nigeria,NGA,NSA,Islamic State West Africa Province,Combination,0,0,0,0,1,0,0,0,1,0,0,0,0,,11,0,0,OtherHealthProfessional,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ConflictEvent,NotApplicable,NotApplicable,NotApplicable,NotApplicable,34034
1/5/2022,Nigeria,NGA,NSA,Islamic State West Africa Province,,0,1,1,0,0,0,0,1,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ConflictEvent,NotApplicable,NotApplicable,NotApplicable,NotApplicable,30744
